Docteur Tweety - TWEXLIST - www.twexlist.com

Sample: The last 50 active members of the list "followers" for Twitter account @feedingtubepaul

Followers;Percentage;Following;Percentage;Location;%;Verified;%;Protected;%;Creation;%;
Less than 500;24%;Less than 50;0%;;16%;Yes;0%;Yes;0%;2017;20%;
Between 500 and 1 000;14%;Between 50 and 100;0%;Virginia, USA;4%;No;100%;No;100%;2016;14%;
Between 1 000 and 5 000;26%;Between 100 and 500;6%;Pennsylvania, USA;4%;Language;%;Active;%;2015;8%;
Between 5 000 and 10 000;8%;Between 500 and 1 000;12%;Southern California;4%;en;96%;Today;52%;2014;4%;
Between 10 000 and 20 000;10%;Between 1 000 and 5 000;50%;Los Angeles, CA;2%;id;2%;Less than 2 days;90%;2013;16%;
Between 20 000 and 50 000;10%;Between 5 000 and 10 000;10%;New Orleans, LA;2%;fr;2%;Less than 1 week;96%;2012;6%;
Between 50 000 and 100 000;0%;Between 10 000 and 50 000;12%;Gaea;2%;;;Less than 1 month;96%;2011;12%;
More than 100 000 ;8%;More than 50 000;10%;Syracuse, NY;2%;;;Less than 3 months;96%;2010;6%;

Twitter account;Name;Creation;Time Zone;Location;Language;Followers;Following;Statuses;Verified;Protected;Translator;Last tweet;Description;URL;Email;
@boteatingtiger;Tiger Shark;2017-06-14 10:07:44;;Coral reefs;en;750;1045;678;;;;2017-11-27 01:53:32;Helpful & interesting shark related information - Protector of #TheResistance - Russian Bot/Troll eater - Property of the Pirates;;;
@badick54;Ecurb Nosrekcid;2013-08-15 15:10:24;America/Chicago;Iowa, USA;en;497;1081;4749;;;;2017-11-26 23:53:17;Social policy liberal as it gets. Foreign policy liberal interventionist. Messed up world America needs B force 4 good. Econ. - globalization good in long run.;;;
@jacksnowknows;🇺🇸Jack Snow❄️🇺🇸;2013-11-04 01:41:32;Pacific Time (US & Canada);A Republic-if we can keep it;en;20705;16707;33025;;;;2017-11-27 02:12:26;🇺🇸#Ω We are the #HeirsOfLiberty #BlizzardOfUS❄️ #ResistanceUnited #BLM bro #RWU buddy #LGBTQ ally;https://tttthreads.com/thread/928554908680298497;;
@unpresident_him;Dave T;2015-02-24 02:05:46;Pacific Time (US & Canada);Albuquerque, NM;en;994;1595;3264;;;;2017-11-26 19:33:05;Flaky, like snow. #TheResistance #Indivisible #BlueWave #FBR;;;
@valerie_modesto;Valerie Modesto;2016-06-20 01:35:33;;La Casa de Lulu, CA;en;131;348;452;;;;2017-11-23 03:09:06;Cranky old broad, that s pretty much it.;;;
@ProbablyMortal;Katya 📝;2014-07-19 16:45:53;Pacific Time (US & Canada);Pennsylvania, USA;en;1075;1213;6205;;;;2017-11-27 00:20:37;I was a Republican, you made me a Democrat. I was a voter, you made me an activist.I was a citizen, you made me a patriot.#Resist;;;
@POLITICSofVIDEO;TRUMP Kleptocracy;2016-09-16 19:10:56;Pacific Time (US & Canada);Art in AMERICA;en;25490;21523;313;;;;2017-11-26 23:28:02;Artists of the upcoming INTERACTIVE ART SHOW - THE TRUMPING OF AMERICA  - share their tweets;;;
@acgarner216;Angela Garner;2014-02-03 02:53:44;Central Time (US & Canada);Alabama ;en;796;1861;6053;;;;2017-11-25 14:51:33;Gigi to two beautiful grandkids❤️, married to Stephen for 30 yrs,thank you the resistance!kindnessmatters What has this election unleashed??#Alwayswithher;http://www.cafepress.com/OpheliaRue;;
@NoFascistLies;Jesse Stark 🌹;2011-05-17 00:32:57;Central Time (US & Canada);Missouri, USA;en;24220;19910;246587;;;;2017-11-27 02:17:08;Working to elect Sanders Democrats to office and promoting progressive news outlets. #OurRevolution #Fightfor15 #SinglePayer #BDS #BasicIncome #FeeltheBern🌹🌹🌹;http://newbillofrights.tumblr.com/;;
@Skajolly;Kathryn of Paragon;2016-09-29 23:51:50;;Colorado, USA;en;932;1457;9348;;;;2017-11-27 02:20:48;Bookworm, Feminist Geezer Gamer Geek;;;
